practiceID,setID,title,rounds
0,0,Warm Up,1
0,1,Drills,4
0,2,Resistance,4
0,3,Start Work,1
0,4,Front End Speed,3
0,5,Untitled,1
1,0,Warm Up,3
1,1,KDS,3
1,2,Pull (stroke Count Work),1
1,3,Skills And Drills,1
2,0,Warm Up,1
2,1,K/d/s,2
2,2,Distance Ladder,1
3,0,Warm Up,1
3,1,Pre Set,3
3,2,Start Work,1
3,3,Test Set,1
3,4,Go in heats,1
3,5,Widths,8
4,0,Untitled,1
4,1,Untitled,1
4,2,Preset for 500,4
4,3,Untitled,1
4,4,Untitled,1
4,5,Pull Set DPS add kick,1
4,6,fine set,4
4,7,Untitled,1
5,0,Warm Up,1
5,1,100s,2
5,2,Drill/swim,4
5,3,321,3
5,4,Pace,3
5,5,Cool Down,1
6,0,Warm Up,1
6,1,Untitled,1
6,2,Pull / Swim Set,3
6,3,Start TurnFinish Set (1),4
6,4,Butterfly / Breaststroke Work,2
7,0,Warm Up,1
7,1,Warm Up Cont.,8
7,2,Turn Work,4
7,3,Pull (Main Set),1
7,4,Untitled,1
7,5,Starts and Turns,4
7,6,Untitled,1
8,0,Warm Up,1
8,1,Pre-Set (Meet Warm Up),1
8,2,Pace,3
8,3,200s OTB,1
